query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,2369,data/processed/frames_v14_1fps/frame_000080.jpg,v12,6265,76.88767719794042,v11,1650,data/processed/frames_v11_1fps/frame_000056.jpg,5,0.9401877522468567,148,140,0.9459459459459459,29.703365842260233
v14,2399,data/processed/frames_v14_1fps/frame_000081.jpg,v11,1410,25.536206564333053,v11,1470,data/processed/frames_v11_1fps/frame_000050.jpg,7,0.9622341394424438,256,240,0.9375,26.031469461537498
v14,2429,data/processed/frames_v14_1fps/frame_000082.jpg,v11,1230,26.273465207939388,v11,1440,data/processed/frames_v11_1fps/frame_000049.jpg,9,0.9577177166938782,234,211,0.9017094017094017,24.65629202462225
v14,2459,data/processed/frames_v14_1fps/frame_000083.jpg,v11,1230,24.682643546802158,v11,1410,data/processed/frames_v11_1fps/frame_000048.jpg,4,0.9654245972633362,233,210,0.9012875536480687,23.152768311365605
v14,2489,data/processed/frames_v14_1fps/frame_000084.jpg,v11,1230,23.070431089041026,v11,1410,data/processed/frames_v11_1fps/frame_000048.jpg,7,0.9577020406723022,236,211,0.8940677966101694,21.983584910921337
v14,2519,data/processed/frames_v14_1fps/frame_000085.jpg,v11,1230,21.501975990344388,v11,1410,data/processed/frames_v11_1fps/frame_000048.jpg,7,0.953100323677063,244,224,0.9180327868852459,20.952443163120904
v14,2549,data/processed/frames_v14_1fps/frame_000086.jpg,v11,1230,19.960591846196753,v11,1380,data/processed/frames_v11_1fps/frame_000047.jpg,7,0.9509126543998718,236,220,0.9322033898305084,19.67147788196836
v14,2579,data/processed/frames_v14_1fps/frame_000087.jpg,v11,1230,18.42508110205462,v11,1350,data/processed/frames_v11_1fps/frame_000046.jpg,9,0.9437485933303833,233,218,0.9356223175965666,18.433334240975903
v14,2609,data/processed/frames_v14_1fps/frame_000088.jpg,v11,1230,16.95302863764955,v11,1320,data/processed/frames_v11_1fps/frame_000045.jpg,9,0.9331391453742981,213,198,0.9295774647887324,17.07622697848597
v14,2639,data/processed/frames_v14_1fps/frame_000089.jpg,v11,1140,33.12213237008772,v11,1230,data/processed/frames_v11_1fps/frame_000042.jpg,3,0.9311185479164124,186,157,0.8440860215053764,38.70156487715388
v14,2669,data/processed/frames_v14_1fps/frame_000090.jpg,v11,1140,33.065135091296646,v11,1230,data/processed/frames_v11_1fps/frame_000042.jpg,5,0.9369135499000549,159,140,0.8805031446540881,38.66906869100021
